days
8
17
17
35
65
52
67
36
30
10
43
15
78
9
105
130
29
14
14
65
115
28
14
15
28
71
94
35
32
108
112
29
24
11
59
85
25
260
8
42
137
14
106
105
8
11
63
14
105
36
15
24
25
36
67
35
98
18
78
27
69
115
21
83
77
67
53
112
101
77
49
14
18
23
130
45
30
42
80
25
16
77
14
55
29
81
70
35
113
29
16
77
42
32
3
37
39
32
86
142
32
52
129
38
70
126
72
7
31
129
70
7
24
18
287
101
63
11
74
25
88
130
28
149
55
87
21
35
28
24
14
10
60
80
64
99
60
14
70
30
107
24
109
46
81
32
46
46
29
25
66
114
123
162
39
53
67
108
60
24
25
18
48
45
88
197
123
66
38
158
30
22
18
74
102
31
74
46
4
4
48
31
67
52
79
46
141
10
10
31
30
32
35
38
128
60
17
32
118
128
172
60
72
35
123
24
63
60
60
24
128
38
67
24
59
24
41
88
46
135
23
24
57
25
29
94
80
31
25
115
150
55
66
30
52
134
76
28
66
45
24
59
119
66
67
41
10
7
122
164
30
27
94
55
100
24
23
99
10
10
59
9
30
24
18
22
304
85
29
87
149
59
17
58
55
142
155
49
72
53
30
64
57
25
8
183
21
55
127
24
170
23
107
44
31
7
24
10
16
57
66
58
22
87
7
29
15
16
115
24
43
28
9
14
36
63
28
20
23
23
25
29
38
43
129
31
52
20
29
58
42
31
23
102
44
169
25
59
92
17
30
20
10
10
38
29
57
95
80
7
106
8
9
98
17
24
6
58
59
120
8
51
23
115
56
11
21
8
115
23
69
148
114
90
23
7
28
78
106
59
50
25
86
29
28
23
51
23
79
24
133
56
81
22
35
9
114
29
22
34
64
97
134
136
30
57
23
50
55
86
78
102
71
32
71
42
30
93
148
23
32
8
79
227
22
23
7
17
66
21
17
10
107
41
29
69
18
29
78
15
78
20
48
8
25
64
65
8
29
25
27
71
16
34
30
76
74
22
36
32
18
8
148
18
36
36
29
118
197
105
8
67
134
21
195
270
35
86
22
71
63
45
23
8
191
41
46
106
60
17
23
28
27
42
139
37
127
23
43
22
22
29
8
46
55
35
22
88
170
119
7
30
7
28
136
63
6
56
29
51
48
27
25
104
162
18
69
60
59
71
43
8
123
53
22
199
14
76
48
14
20
115
31
37
56
21
51
23
42
27
43
88
21
56
63
126
58
112
25
32
102
151
101
28
10
8
28
133
259
46
56
32
53
28
37
56
45
21
6
100
52
188
87
24
52
18
53
51
52
20
59
6
25
17
38
59
87
116
32
72
44
18
73
76
91
22
70
6
38
25
7
32
31
55
25
74
44
86
29
116
7
72
77
52
90
23
3
50
58
25
109
49
72
102
18
24
35
88
100
15
41
3
109
101
193
32
25
18
25
86
56
23
17
10
88
38
43
31
39
172
144
35
31
30
121
58
10
64
25
114
207
88
23
60
31
58
23
39
95
15
31
92
59
16
25
8
18
9
59
8
23
52
115
36
43
130
192
10
38
80
121
112
22
98
53
51
88
24
30
18
58
108
44
107
32
24
59
17
23
58
37
31
58
18
16
52
113
44
28
24
157
102
3
35
